;ticker;exchange;shortName;industryID;industryIDv2;industry;industryEn;establishedYear;noEmployees;noShareholders;foreignPercent;website;stockRating;deltaInWeek;deltaInMonth;deltaInYear;outstandingShare;issueShare;companyType
823;VCF;HOSE;Vinacafé Biên Hòa;216;3537;Thực phẩm và đồ uống;Food & Beverage;2004;327;390;0,007;http://www.vinacafebienhoa.com;3;-0,076;-0,01;0,289;26,6;26,6;CT
826;PAN;HOSE;Tập đoàn PAN;218;3577;Thực phẩm và đồ uống;Food & Beverage;2005;9304;21259;0,107;https://thepangroup.vn;2,8;-0,083;-0,213;-0,286;208,9;216,4;CT
838;ANV;HOSE;Thủy sản Nam Việt;217;3573;Thực phẩm và đồ uống;Food & Beverage;2006;4634;0;0,039;http://www.navicorp.com.vn;2,9;-0,045;-0,395;-0,138;127,1;127,5;CT
843;CMX;HOSE;CAMIMEX Group;217;3573;Thực phẩm và đồ uống;Food & Beverage;2006;921;9602;0,095;http://www.camimex.com.vn;2,5;0,079;-0,305;-0,293;101,9;101,9;CT
854;HAG;HOSE;Hoàng Anh Gia Lai;217;3573;Thực phẩm và đồ uống;Food & Beverage;2006;117;54114;0,022;http://www.hagl.com.vn;2,3;0,044;-0,155;0,227;927,4;927,5;CT
858;SBT;HOSE;Mía đường Thành Thành Công - Biên Hòa;218;3577;Thực phẩm và đồ uống;Food & Beverage;2007;4217;20235;0,114;http://www.ttcsugar.com.vn;2,7;-0,049;-0,09;-0,206;650,8;629,2;CT
859;VHC;HOSE;Thủy sản Vĩnh Hoàn;217;3573;Thực phẩm và đồ uống;Food & Beverage;2007;3500;2487;0,303;https://vinhhoan.com;3;-0,116;-0,015;0,463;183,4;183,4;CT
872;SAB;HOSE;SABECO;214;3533;Thực phẩm và đồ uống;Food & Beverage;2008;8234;4201;0,627;https://www.sabeco.com.vn;2,7;-0,061;0,046;0,417;641,3;641,3;CT
873;BHN;HOSE;HABECO;214;3533;Thực phẩm và đồ uống;Food & Beverage;2008;724;1001;0,176;http://www.habeco.com.vn;2,5;-0,047;0,078;0,107;231,8;231,8;CT
875;SMB;HOSE;Bia Sài Gòn - Miền Trung;214;3533;Thực phẩm và đồ uống;Food & Beverage;2008;495;2083;0,141;http://www.biasaigonmt.com;2,9;0,019;0,065;0,357;29,8;29,8;CT
878;DAT;HOSE;ĐT Du lịch và PT Thủy sản;217;3573;Thực phẩm và đồ uống;Food & Beverage;2008;110;440;0;http://www.trisedco.com;2,3;-0,02;-0,06;-0,165;62,9;62,9;CT
885;NAF;HOSE;Nafoods Group;216;3537;Thực phẩm và đồ uống;Food & Beverage;2010;636;4963;0,257;http://www.nafoodsgroup.com.vn;2,7;-0,023;-0,175;-0,371;62,9;50,6;CT
889;HNG;HOSE;Nông nghiệp Quốc tế HAGL;217;3573;Thực phẩm và đồ uống;Food & Beverage;2010;30;33850;0,018;http://www.haagrico.com.vn;1,9;0,045;-0,018;-0,189;1108,6;1108,6;CT
911;HSL;HOSE;Thực phẩm Hồng Hà;218;3577;Thực phẩm và đồ uống;Food & Beverage;2015;34;0;0,021;http://www.honghagroup.com.vn;3,2;0,007;-0,281;-0,246;35,4;35,4;CT
914;BAF;HOSE;Nông nghiệp BAF Việt Nam;217;3573;Thực phẩm và đồ uống;Food & Beverage;2017;252;333;0,008;http://baf.vn;2,7;-0,103;-0,3;;143,5;143,5;CT
920;PNC;HOSE;Văn hóa Phương Nam;256;5557;Truyền thông;Media;1999;779;0;0,008;http://www.pnc.com.vn;2,2;-0,099;-0,001;0,016;10,8;11;CT
936;YEG;HOSE;Tập đoàn Yeah1;254;5553;Truyền thông;Media;2006;76;310;0,159;https://www.yeah1group.com;2,9;0,046;-0,415;-0,224;31,3;31,3;CT
945;ADG;HOSE;Clever Group;255;5555;Truyền thông;Media;2008;166;761;0,457;https://clevergroup.vn;2,6;-0,049;-0,094;0,026;21,4;19,9;CT
960;VID;HOSE;Viễn Đông;156;1737;Tài nguyên Cơ bản;Basic Resources;1974;32;3501;0,005;http://www.dautuviendong.vn;2,9;-0,149;-0,093;-0,11;40,8;40,8;CT
964;TLH;HOSE;Thép Tiến Lên;159;1757;Tài nguyên Cơ bản;Basic Resources;1988;300;7761;0,012;http://www.tienlengroup.com.vn;2,6;0,059;-0,24;-0,404;102,1;102,1;CT
965;KSB;HOSE;Khoáng sản Bình Dương;166;1775;Tài nguyên Cơ bản;Basic Resources;1993;329;6822;0,068;http://www.bimico.com.vn;2,7;-0,047;-0,219;-0,322;76,3;76,6;CT
967;TNA;HOSE;XNK Thiên Nam;159;1757;Tài nguyên Cơ bản;Basic Resources;1994;145;2298;0,035;http://www.thiennamgroup.vn;2,1;-0,036;-0,239;-0,214;49,2;49,6;CT
972;SHI;HOSE;SONHA CORP;159;1757;Tài nguyên Cơ bản;Basic Resources;1998;1991;5982;0,001;http://www.sonha.com.vn;2,5;-0,06;0,008;0,228;161,9;162,2;CT
973;POM;HOSE;Thép Pomina;159;1757;Tài nguyên Cơ bản;Basic Resources;1999;2396;7279;0,079;http://www.pomina-steel.com;2,3;0,07;-0,079;-0,403;278,5;279,7;CT
974;HAP;HOSE;Tập đoàn Hapaco;156;1737;Tài nguyên Cơ bản;Basic Resources;1999;620;8771;0,025;http://www.hapaco.vn;2,7;0,012;-0,106;-0,351;110,9;111,1;CT
979;HPG;HOSE;Hòa Phát;159;1757;Tài nguyên Cơ bản;Basic Resources;2001;19828;0;0,19;http://www.hoaphat.com.vn;3,1;0,212;-0,137;-0,269;5814,8;5814,8;CT
980;HSG;HOSE;Tập đoàn Hoa Sen;159;1757;Tài nguyên Cơ bản;Basic Resources;2001;7824;0;0,06;http://www.hoasengroup.vn;2,8;0,094;-0,282;-0,403;598,1;598,1;CT
982;SAV;HOSE;Savimex;155;1733;Tài nguyên Cơ bản;Basic Resources;2001;1085;0;0,434;http://www.savimex.com.vn;3;-0,037;-0,066;-0,144;18;18,4;CT
983;GTA;HOSE;Gỗ Thuận An;155;1733;Tài nguyên Cơ bản;Basic Resources;2001;762;1546;0,006;http://gothuanan.vn/;2,6;0,025;-0,091;0,028;9,8;10,4;CT
984;DTL;HOSE;Đại Thiên Lộc;159;1757;Tài nguyên Cơ bản;Basic Resources;2001;311;310;0;http://daithienloc.com.vn/;2;0,172;0,165;0,01;60,6;61,4;CT
985;BMC;HOSE;Khoáng sản Bình Định;166;1775;Tài nguyên Cơ bản;Basic Resources;2001;197;0;0,063;http://www.bimico.vn;2,8;-0,034;-0,253;-0,299;12,4;12,4;CT
991;NKG;HOSE;Thép Nam Kim;159;1757;Tài nguyên Cơ bản;Basic Resources;2002;1730;0;0,109;http://www.namkimgroup.vn;2,9;0,061;-0,405;-0,414;263,3;263,3;CT
993;TTF;HOSE;Gỗ Trường Thành;155;1733;Tài nguyên Cơ bản;Basic Resources;2003;4016;3958;0,008;http://www.truongthanh.com;1,9;0,043;-0,158;-0,299;411,2;393,5;CT
994;DHC;HOSE;Đông Hải Bến Tre;156;1737;Tài nguyên Cơ bản;Basic Resources;2003;519;1004;0,317;http://www.dohacobentre.com.vn;3,2;-0,105;-0,255;-0,251;70;70;CT
996;DHM;HOSE;Khoáng sản Dương Hiếu;166;1775;Tài nguyên Cơ bản;Basic Resources;2003;26;0;0,001;http://www.duonghieu.com.vn;2,6;-0,014;-0,013;0,076;31,4;31,4;CT
998;SVT;HOSE;Công nghệ SG Viễn Đông;156;1737;Tài nguyên Cơ bản;Basic Resources;2003;9;1258;0,014;http://www.savitechco.vn;3,5;0,003;0,052;0,148;15,1;15,1;CT
999;PTB;HOSE;Công ty Cổ phần Phú Tài;155;1733;Tài nguyên Cơ bản;Basic Resources;2004;5044;2448;0,167;http://www.phutai.com.vn;2,9;-0,023;-0,255;-0,162;68;68;CT
1001;SMC;HOSE;Đầu tư Thương mại SMC;159;1757;Tài nguyên Cơ bản;Basic Resources;2004;986;0;0,203;http://www.smc.vn;2,6;0,037;-0,337;-0,438;73,6;73,7;CT
1007;HMC;HOSE;Kim khí TP.HCM;159;1757;Tài nguyên Cơ bản;Basic Resources;2005;184;0;0,009;https://metalhcm.com.vn;2,7;-0,051;-0,201;-0,192;27,3;27,3;CT
1011;ACG;HOSE;Gỗ An Cường;155;1733;Tài nguyên Cơ bản;Basic Resources;2006;2959;477;0,386;https://www.ancuong.com;2,5;-0,116;-0,312;-0,13;135,8;135,8;CT
1016;TNT;HOSE;Tập đoàn TNT;166;1775;Tài nguyên Cơ bản;Basic Resources;2006;15;1660;0,001;http://tainguyen.vn;2,7;-0,012;-0,185;-0,464;51;51;CT
1019;DLG;HOSE;Đức Long Gia Lai;155;1733;Tài nguyên Cơ bản;Basic Resources;2007;5750;3572;0,018;http://www.duclonggroup.com;2,1;0,045;-0,191;-0,438;299,3;299,3;CT
1024;VCA;HOSE;Thép VICASA - VNSTEEL;159;1757;Tài nguyên Cơ bản;Basic Resources;2007;396;732;0,085;http://www.vicasasteel.com;3,1;-0,028;-0,189;-0,003;15,2;15,2;CT
1034;VPG;HOSE;Đầu tư TMại XNK Việt Phát;166;1775;Tài nguyên Cơ bản;Basic Resources;2008;108;3927;0,005;http://www.vietphatjsc.com.vn;2,9;-0,145;-0,163;-0,342;80,2;80,2;CT
1040;SHA;HOSE;Sơn Hà Sài Gòn;159;1757;Tài nguyên Cơ bản;Basic Resources;2009;297;0;0,009;http://www.sonhasg.com.vn;2,2;-0,067;-0,149;-0,203;33,4;33,4;CT
1041;TNI;HOSE;Tập đoàn Thành Nam;159;1757;Tài nguyên Cơ bản;Basic Resources;2009;108;1329;0,003;http://www.thanhnamgroup.com.vn;2,7;0,043;-0,003;-0,305;52,5;52,5;CT
1056;HHP;HOSE;Giấy Hoàng Hà Hải Phòng;156;1737;Tài nguyên Cơ bản;Basic Resources;2012;121;567;0,026;http://www.hhppaper.com;3,1;-0,008;0,067;-0,062;30,1;30,1;CT
1065;YBM;HOSE;Khoáng sản CN Yên Bái;166;1775;Tài nguyên Cơ bản;Basic Resources;2015;175;0;0,002;http://www.ybm.com.vn;2,9;-0,038;-0,026;-0,06;14,3;14,3;CT
1080;VSI;HOSE;Đầu tư và Xây dựng Cấp thoát nước;181;2357;Xây dựng và Vật liệu;Construction & Materials;1975;180;394;0,007;http://www.waseco.com.vn;3,3;-0,208;-0,283;0,09;13,2;13,2;CT
1084;LM8;HOSE;LILAMA 18;181;2357;Xây dựng và Vật liệu;Construction & Materials;1977;2818;1127;0,018;http://www.lilama18.com.vn;2,8;-0,026;-0,086;-0,07;9,4;9,4;CT
1088;HU3;HOSE;Xây dựng HUD3;181;2357;Xây dựng và Vật liệu;Construction & Materials;1978;95;374;0,047;http://www.hud3.com.vn;2,7;0,088;-0,033;-0,208;10;10;CT
1094;MDG;HOSE;Xây dựng Miền Đông;180;2353;Xây dựng và Vật liệu;Construction & Materials;1986;76;0;0;http://miendong.com.vn/;3,3;0,042;-0,036;0,523;10,3;10,9;CT
1095;VNE;HOSE;Xây dựng điện Việt Nam;181;2357;Xây dựng và Vật liệu;Construction & Materials;1988;177;0;0,059;http://www.vneco.vn;2;-0,021;0,061;0,077;81,9;90,4;CT
1097;HU1;HOSE;Xây dựng HUD1;181;2357;Xây dựng và Vật liệu;Construction & Materials;1989;172;495;0,035;http://www.hud1.vn;2,3;0,043;-0,153;-0,19;10;10;CT
1099;HVX;HOSE;Xi măng Vicem Hải Vân;180;2353;Xây dựng và Vật liệu;Construction & Materials;1990;505;917;0,008;http://www.haivancement.vn;2;-0,145;-0,157;-0,397;41,5;38,5;CT
1101;C32;HOSE;CIC39;180;2353;Xây dựng và Vật liệu;Construction & Materials;1993;228;3378;0,044;http://www.cic39.vn;3,2;-0,142;-0,112;-0,146;15;15;CT
1105;TCR;HOSE;Gốm sứ TAICERA;180;2353;Xây dựng và Vật liệu;Construction & Materials;1994;1075;3342;0,461;http://www.taicera.com;2,2;-0,059;-0,139;-0,268;45,4;10,4;CT
1108;UDC;HOSE;Xây dựng và Phát triển đô thị Bà Rịa - Vũng Tàu;181;2357;Xây dựng và Vật liệu;Construction & Materials;1995;232;1201;0,124;http://www.udec.com.vn;2,1;0,039;-0,05;-0,091;34,7;35;CT
1117;HBC;HOSE;Tập đoàn Xây dựng Hòa Bình;181;2357;Xây dựng và Vật liệu;Construction & Materials;2000;5040;19799;0,162;https://hbcg.vn;2;-0,027;-0,351;-0,333;274,1;267,8;CT
1121;HTI;HOSE;PT Hạ tầng IDICO;181;2357;Xây dựng và Vật liệu;Construction & Materials;2000;210;828;0,223;http://www.idico-idi.com.vn;3,1;-0,016;0,078;0,199;24,9;24,9;CT
1123;DHA;HOSE;Hóa An;180;2353;Xây dựng và Vật liệu;Construction & Materials;2000;119;2027;0,147;http://www.hoaan.com.vn;3;0,06;-0,065;-0,122;14,7;15,1;CT
1124;UIC;HOSE;Phát triển Nhà và Đô thị IDICO;181;2357;Xây dựng và Vật liệu;Construction & Materials;2000;99;572;0,128;http://www.idico-udico.com.vn/welcome/vn;3;-0,043;-0,033;-0,018;8;8;CT
1125;LGC;HOSE;Đầu tư Cầu đường CII;181;2357;Xây dựng và Vật liệu;Construction & Materials;2000;98;287;0,45;http://www.ciibr.com.vn;2,7;0,039;0,09;0,268;192,9;192,9;CT
1129;PHC;HOSE;Phuc Hung Holdings;181;2357;Xây dựng và Vật liệu;Construction & Materials;2001;483;6867;0,013;http://www.phuchung.com.vn;2,2;-0,042;-0,081;-0,322;50,7;50,6;CT
1130;LCG;HOSE;LIZEN;181;2357;Xây dựng và Vật liệu;Construction & Materials;2001;451;37697;0,024;http://lizen.vn/vi;2,8;0,003;-0,263;-0,337;189,6;191,6;CT
1134;CII;HOSE;Hạ tầng Kỹ thuật TP.HCM;181;2357;Xây dựng và Vật liệu;Construction & Materials;2001;118;39257;0,074;http://www.cii.com.vn;2,4;-0,044;-0,217;-0,243;252,2;284;CT
1140;HAS;HOSE;Hacisco;181;2357;Xây dựng và Vật liệu;Construction & Materials;2001;89;1529;0,167;https://has.vn/;2,8;0,196;0,025;0,056;7,8;8;CT
1141;NAV;HOSE;Tấm lợp và gỗ Nam Việt;180;2353;Xây dựng và Vật liệu;Construction & Materials;2001;24;0;0,01;http://www.navifico.vn;3,1;0,131;0,042;-0,012;8;8;CT
1147;DPG;HOSE;Tập đoàn Đạt Phương;181;2357;Xây dựng và Vật liệu;Construction & Materials;2002;517;5613;0,011;http://www.datphuong.com.vn;2,8;-0,034;-0,269;-0,424;63;63;CT
1151;BCE;HOSE;XD và GT Bình Dương;181;2357;Xây dựng và Vật liệu;Construction & Materials;2002;135;1927;0,014;http://www.becamexbce.com.vn;2,5;-0,066;-0,137;-0,407;35;35;CT
1155;BMP;HOSE;Nhựa Bình Minh;180;2353;Xây dựng và Vật liệu;Construction & Materials;2003;1203;0;0,857;http://www.binhminhplastic.com;3,1;0,013;0,039;0,286;81,9;81,9;CT
1156;LBM;HOSE;Khoáng sản Lâm Đồng;180;2353;Xây dựng và Vật liệu;Construction & Materials;2003;751;885;0,133;http://lbm-vn.vn;3,5;0,081;0,118;0,461;20;20;CT
1158;THG;HOSE;XD Tiền Giang;181;2357;Xây dựng và Vật liệu;Construction & Materials;2003;677;1351;0,007;http://www.ticco.com.vn;2,8;-0,021;-0,117;-0,189;20;20;CT
1176;SC5;HOSE;Xây dựng Số 5;181;2357;Xây dựng và Vật liệu;Construction & Materials;2003;65;1323;0,041;http://www.sc5.vn;2,4;-0,064;0,061;0,141;15;15;CT
1185;CTD;HOSE;Xây dựng Coteccons;181;2357;Xây dựng và Vật liệu;Construction & Materials;2004;2720;3260;0,487;http://www.coteccons.vn;2,3;-0,038;-0,32;-0,282;73,9;79,3;CT
1188;FCN;HOSE;FECON CORP;181;2357;Xây dựng và Vật liệu;Construction & Materials;2004;1392;23990;0,324;http://www.fecon.com.vn;2,3;-0,014;-0,312;-0,246;157,4;157,4;CT
1218;NHA;HOSE;PT Nhà và Đô thị Nam HN;181;2357;Xây dựng và Vật liệu;Construction & Materials;2004;29;0;0,005;http://www.namhanoi.com.vn;2;0,043;-0,319;-0,421;42,2;42,2;CT
1219;PTC;HOSE;Đầu tư ICAPITAL;181;2357;Xây dựng và Vật liệu;Construction & Materials;2004;26;884;0,01;http://www.ptic.vn;2;-0,029;-0,321;-0,236;32,2;32,3;CT
1223;PC1;HOSE;Tập đoàn PC1;181;2357;Xây dựng và Vật liệu;Construction & Materials;2005;1524;686;0,057;http://pc1group.vn;2,6;0,039;-0,303;-0,199;270,4;235,2;CT
1231;C47;HOSE;Xây dựng 47;181;2357;Xây dựng và Vật liệu;Construction & Materials;2005;655;1702;0,001;http://www.xaydung47.vn;2,6;-0,023;-0,189;-0,287;32,5;27,5;CT
1239;DC4;HOSE;Xây dựng DIC Holdings;181;2357;Xây dựng và Vật liệu;Construction & Materials;2005;312;603;0,001;http://www.diccons.vn;2,3;0,057;-0,141;-0,378;52,5;52,5;CT
1246;CIG;HOSE;Xây dựng COMA 18;181;2357;Xây dựng và Vật liệu;Construction & Materials;2005;59;308;0;http://www.coma18.vn;2,2;0,004;-0,286;-0,378;31,5;31,5;CT
1252;VCG;HOSE;VINACONEX;181;2357;Xây dựng và Vật liệu;Construction & Materials;2006;6845;7864;0,032;http://www.vinaconex.com.vn;2,3;0,003;-0,144;-0,324;485,9;485,9;CT
1257;CVT;HOSE;CMC JSC;180;2353;Xây dựng và Vật liệu;Construction & Materials;2006;1125;1284;0,005;https://cmctiles.vn;2,6;-0,016;0,112;0,529;36,7;36,7;CT
1263;GMH;HOSE;Minh Hưng Quảng Trị;180;2353;Xây dựng và Vật liệu;Construction & Materials;2006;405;173;0;http://minhhungqt.vn;3,5;-0,05;0,058;;16,5;16,5;CT
1266;DXV;HOSE;Vật liệu Xây dựng Đà Nẵng;180;2353;Xây dựng và Vật liệu;Construction & Materials;2006;250;578;0,006;http://coxiva.com.vn/;2,5;-0,039;-0,085;-0,152;9,9;9,9;CT
1281;NNC;HOSE;Đá Núi Nhỏ;180;2353;Xây dựng và Vật liệu;Construction & Materials;2006;58;0;0,075;http://www.nuinho.vn;2,2;0,017;-0,027;-0,137;21,9;21,9;CT
1288;HT1;HOSE;VICEM Hà Tiên;180;2353;Xây dựng và Vật liệu;Construction & Materials;2007;2373;15835;0,02;https://www.hatien1.com.vn;2,4;-0,012;-0,157;-0,311;381,6;381,6;CT
1294;CTI;HOSE;Cường Thuận IDICO;181;2357;Xây dựng và Vật liệu;Construction & Materials;2007;481;993;0,006;http://www.cuongthuan.vn;2,2;0,003;0,015;-0,134;54,8;63;CT
1298;FCM;HOSE;Khoáng sản FECON;180;2353;Xây dựng và Vật liệu;Construction & Materials;2007;423;3204;0,031;http://www.feconmining.com.vn;2,5;-0,082;-0,22;-0,314;45,1;45,1;CT
1311;HID;HOSE;Halcom Vietnam;181;2357;Xây dựng và Vật liệu;Construction & Materials;2007;120;5848;0,007;http://www.halcom.vn;2,6;0,006;-0,289;-0,447;76,8;76,8;CT
1315;TCD;HOSE;ĐT Phát triển CN và Vận tải;181;2357;Xây dựng và Vật liệu;Construction & Materials;2007;88;4023;0,005;http://www.tracodi.com.vn;2,8;0,036;-0,391;-0,453;244,4;244,4;CT
1324;ACC;HOSE;Đầu tư và XD Bình Dương ACC;180;2353;Xây dựng và Vật liệu;Construction & Materials;2008;253;2386;0,083;http://www.becamexacc.com.vn;2,7;-0,102;-0,199;0,427;105;105;CT
1325;TTA;HOSE;XD và PT Trường Thành;181;2357;Xây dựng và Vật liệu;Construction & Materials;2008;138;8256;0,003;http://www.truongthanhgroup.com.vn;2,7;0,021;-0,145;-0,141;157,5;157,5;CT
1328;CDC;HOSE;Chương Dương Corp;181;2357;Xây dựng và Vật liệu;Construction & Materials;2008;90;963;0,004;https://chuongduongcorp.vn;2,7;-0,007;0,046;0,352;22;22;CT
1330;TTB;HOSE;Tập đoàn Tiến Bộ;180;2353;Xây dựng và Vật liệu;Construction & Materials;2008;69;335;0;http://www.tienbo.vn;2;0,033;-0,182;-0,41;101,5;101,5;CT
1345;MCG;HOSE;Năng lượng và Bất động sản MCG;181;2357;Xây dựng và Vật liệu;Construction & Materials;2009;43;4853;0,002;http://www.mecojsc.vn;2;0,056;-0,336;-0,454;52,1;57,5;CT
1350;EVG;HOSE;Tập đoàn Everland;181;2357;Xây dựng và Vật liệu;Construction & Materials;2009;20;1398;0,001;http://www.everland.vn;2,6;-0,091;-0,231;-0,375;215,2;215,2;CT
1352;KPF;HOSE;Đầu tư Tài sản KOJI;180;2353;Xây dựng và Vật liệu;Construction & Materials;2009;5;846;0,031;http://www.kpf.com.vn;2,5;-0,055;0,066;-0,077;60,9;60,9;CT
1353;CTR;HOSE;Công trình Viettel;181;2357;Xây dựng và Vật liệu;Construction & Materials;2010;9536;9288;0,098;http://www.congtrinhviettel.com.vn;2,8;-0,082;-0,245;-0,039;114,4;114,4;CT
1354;VGC;HOSE;Tổng Công ty Viglacera;180;2353;Xây dựng và Vật liệu;Construction & Materials;2010;7629;4286;0,057;http://www.viglacera.com.vn;3,1;-0,032;-0,358;-0,039;448,4;448,4;CT
1357;HHV;HOSE;Đầu tư Hạ tầng Giao thông Đèo Cả;181;2357;Xây dựng và Vật liệu;Construction & Materials;2010;987;366;0,021;https://hhv.com.vn;2,2;0,004;-0,177;-0,298;534,8;267,4;CT
1367;HVH;HOSE;Đầu tư và Công nghệ HVC;181;2357;Xây dựng và Vật liệu;Construction & Materials;2010;102;0;0,006;http://www.hvcgroup.net;3,1;-0,048;-0,189;-0,352;36,9;36,9;CT
1368;CRC;HOSE;Create Capital Việt Nam;180;2353;Xây dựng và Vật liệu;Construction & Materials;2010;80;3531;0,003;http://www.createcapital.vn;2,9;-0,058;0,041;-0,259;30;30;CT
1374;HUB;HOSE;Xây lắp Huế;181;2357;Xây dựng và Vật liệu;Construction & Materials;2011;1622;998;0,021;http://www.xaylaphue.com.vn;3;-0,052;-0,293;-0,196;22,9;19,1;CT
1382;TGG;HOSE;Louis Capital;181;2357;Xây dựng và Vật liệu;Construction & Materials;2012;5;0;0,001;https://louiscapital.vn;2,9;-0,053;-0,137;-0,558;27,3;27,3;CT
1404;GAB;HOSE;Đầu tư Khai khoáng và Quản lý Tài sản FLC;180;2353;Xây dựng và Vật liệu;Construction & Materials;2016;45;305;0,003;https://flcgab.vn;2,3;-0,016;0,078;0,342;14,9;14,9;CT
1414;SPM;HOSE;S.P.M CORP;238;4577;Y tế;Health Care;1988;196;203;0,019;http://www.spm.com.vn;2,7;-0,012;0,002;0,01;13,8;14;CT
1418;TRA;HOSE;Traphaco;238;4577;Y tế;Health Care;1999;1434;0;0,459;http://www.traphaco.com.vn;2,9;-0,015;0,047;0,394;41,5;41,5;CT
1420;IMP;HOSE;IMEXPHARM;238;4577;Y tế;Health Care;2001;1246;2503;0,498;http://www.imexpharm.com;2,6;0,112;0,006;0,066;66,7;66,7;CT
1422;JVC;HOSE;Đầu tư và Phát triển Y tế Việt Nhật;235;4535;Y tế;Health Care;2001;180;3510;0,013;http://www.ytevietnhat.com.vn;2,2;0,015;-0,212;-0,317;112,5;112,5;CT
1424;OPC;HOSE;Dược phẩm OPC;238;4577;Y tế;Health Care;2002;1029;981;0,008;http://www.opcpharma.com;2,9;-0,033;0,046;0,331;64,1;64,1;CT
1431;VDP;HOSE;Dược phẩm VIDIPHA;238;4577;Y tế;Health Care;2003;426;506;0,004;http://www.vidipha.com.vn;3,3;0,054;0,227;0,421;16,8;16,8;CT
1433;APC;HOSE;Chiếu xạ An Phú;237;4573;Y tế;Health Care;2003;215;1467;0,152;http://www.apic.com.vn;2,5;0,169;0,075;-0,15;19,9;20,1;CT
1436;DHG;HOSE;Dược Hậu Giang;238;4577;Y tế;Health Care;2004;2678;3660;0,542;http://www.dhgpharma.com.vn;3;0,007;0,082;0,185;130,7;130,7;CT
1437;DMC;HOSE;Dược phẩm DOMESCO;238;4577;Y tế;Health Care;2004;1109;0;0,551;http://www.domesco.com;2,7;-0,001;0,069;0,134;34,7;34,7;CT
1438;DCL;HOSE;Dược phẩm Cửu Long;238;4577;Y tế;Health Care;2004;959;2216;0,013;http://dcl.com.vn;2,5;-0,007;0,082;-0,071;73;73;CT
1440;DBT;HOSE;Dược phẩm Bến Tre;238;4577;Y tế;Health Care;2004;556;2153;0,028;http://www.bepharco.com;2,6;-0,016;-0,075;-0,062;14,2;14,2;CT
1446;VMD;HOSE;Y Dược phẩm Vimedimex;238;4577;Y tế;Health Care;2006;1087;364;0,014;http://www.vietpharm.com.vn;2,6;0,015;-0,009;-0,176;15,4;15,4;CT
1454;DBD;HOSE;Dược - TB Y tế Bình Định;238;4577;Y tế;Health Care;2010;1191;1841;0,075;http://www.bidiphar.com;2,8;-0,018;-0,003;0,25;74,8;74,9;CT
1462;TNH;HOSE;Bệnh viện Quốc tế Thái Nguyên;234;4533;Y tế;Health Care;2012;748;3731;0,381;http://www.benhvienquoctethainguyen.com;2,6;-0,012;0,04;0,069;51,9;51,9;CT
1467;HTL;HOSE;Ô tô Trường Long;211;3353;Ô tô và phụ tùng;Automobiles & Parts;1998;334;131;0,461;http://www.truonglong.com;3,6;-0,078;-0,18;-0,004;12;12;CT
1468;HAX;HOSE;Ô tô Hàng Xanh;211;3353;Ô tô và phụ tùng;Automobiles & Parts;2000;718;2696;0,161;http://www.haxaco.com.vn;3,1;-0,053;-0,303;-0,06;56,9;56,9;CT
1470;SVC;HOSE;SAVICO;211;3353;Ô tô và phụ tùng;Automobiles & Parts;2004;4824;952;0,019;http://www.savico.com.vn;3;-0,016;0,078;0,561;33,3;33,3;CT
1472;DRC;HOSE;Cao su Đà Nẵng;213;3357;Ô tô và phụ tùng;Automobiles & Parts;2005;1734;14480;0,078;https://drc.com.vn/;2,8;-0,005;-0,216;-0,13;118,8;118,8;CT
1474;CSM;HOSE;Cao su Miền Nam;213;3357;Ô tô và phụ tùng;Automobiles & Parts;2006;2144;5415;0,007;http://www.casumina.com;2;0,018;0,062;0,15;103,6;103,6;CT
1475;SRC;HOSE;Cao su Sao Vàng;213;3357;Ô tô và phụ tùng;Automobiles & Parts;2006;842;2601;0,001;http://www.src.com.vn;2,7;-0,154;-0,051;0,064;28,1;28,1;CT
1476;TMT;HOSE;Ô tô TMT;211;3353;Ô tô và phụ tùng;Automobiles & Parts;2006;678;1204;0,03;http://www.tmt-vietnam.com.vn;2,6;-0,017;-0,295;-0,18;36,9;37,3;CT
1477;HHS;HOSE;Đầu tư DV Hoàng Huy;211;3353;Ô tô và phụ tùng;Automobiles & Parts;2008;34;22018;0,018;http://www.hoanghuyhhs.vn;2,7;0,01;-0,257;-0,333;321,4;321,4;CT
1478;CTF;HOSE;City Auto;211;3353;Ô tô và phụ tùng;Automobiles & Parts;2009;316;491;0,001;http://www.cityford.com.vn;2,4;0,024;0,178;0,706;76;76;CT
1481;SMA;HOSE;Thiết bị Phụ tùng Sài Gòn;274;7535;Điện, nước & xăng dầu khí đốt;Utilities;1974;21;337;0,001;http://www.saigonmachinco.vn;3,4;-0,023;0,061;-0,148;20,4;20,4;CT
1484;GAS;HOSE;PV Gas;275;7573;Điện, nước & xăng dầu khí đốt;Utilities;1990;3800;10295;0,03;http://www.pvgas.com.vn;2,8;-0,012;0,103;0,343;1914;1914;CT
1485;TDW;HOSE;Cấp nước Thủ Đức;277;7577;Điện, nước & xăng dầu khí đốt;Utilities;1991;412;0;0,027;http://www.capnuocthuduc.vn;3,3;-0,016;0,078;0,618;8,5;8,5;CT
1492;TMP;HOSE;Thủy điện Thác Mơ;274;7535;Điện, nước & xăng dầu khí đốt;Utilities;1994;160;966;0,006;http://www.tmhpp.com.vn;3,4;-0,097;-0,022;0,366;70;70;CT
